From,To,Year,Population Change,Origin Population,Origin Housing Units,Destination Population,Destination Housing Units
Alaska,Alabama,2005,608.0,641724.0,274246.0,4442558.0,2082140.0
Arizona,Alabama,2005,574.0,5829839.0,2544806.0,4442558.0,2082140.0
Arkansas,Alabama,2005,3168.0,2701431.0,1249116.0,4442558.0,2082140.0
California,Alabama,2005,3025.0,35278768.0,12989254.0,4442558.0,2082140.0
Colorado,Alabama,2005,1922.0,4562244.0,2053178.0,4442558.0,2082140.0
Connecticut,Alabama,2005,321.0,3394751.0,1423343.0,4442558.0,2082140.0
Delaware,Alabama,2005,563.0,818587.0,374872.0,4442558.0,2082140.0
Florida,Alabama,2005,15641.0,17382511.0,8256847.0,4442558.0,2082140.0
Georgia,Alabama,2005,17776.0,8821142.0,3771466.0,4442558.0,2082140.0
Hawaii,Alabama,2005,753.0,1238158.0,491071.0,4442558.0,2082140.0
Idaho,Alabama,2005,162.0,1395634.0,595572.0,4442558.0,2082140.0
Illinois,Alabama,2005,3410.0,12440351.0,5144623.0,4442558.0,2082140.0
Indiana,Alabama,2005,1705.0,6093372.0,2724429.0,4442558.0,2082140.0
Iowa,Alabama,2005,375.0,2862541.0,1306943.0,4442558.0,2082140.0
Kansas,Alabama,2005,397.0,2662616.0,1196211.0,4442558.0,2082140.0
Kentucky,Alabama,2005,1712.0,4058633.0,1865516.0,4442558.0,2082140.0
Louisiana,Alabama,2005,4887.0,4389747.0,1940399.0,4442558.0,2082140.0
Maine,Alabama,2005,24.0,1283673.0,683799.0,4442558.0,2082140.0
Maryland,Alabama,2005,1653.0,5461318.0,2273793.0,4442558.0,2082140.0
Massachusetts,Alabama,2005,361.0,6182860.0,2688014.0,4442558.0,2082140.0
Michigan,Alabama,2005,2878.0,9865583.0,4478507.0,4442558.0,2082140.0
Minnesota,Alabama,2005,58.0,4989848.0,2252022.0,4442558.0,2082140.0
Mississippi,Alabama,2005,10093.0,2824156.0,1235496.0,4442558.0,2082140.0
Missouri,Alabama,2005,1768.0,5631910.0,2592809.0,4442558.0,2082140.0
Montana,Alabama,2005,0.0,910651.0,428357.0,4442558.0,2082140.0
Nebraska,Alabama,2005,409.0,1706976.0,766951.0,4442558.0,2082140.0
Nevada,Alabama,2005,709.0,2381281.0,1019427.0,4442558.0,2082140.0
New Hampshire,Alabama,2005,461.0,1272486.0,583324.0,4442558.0,2082140.0
New Jersey,Alabama,2005,951.0,8521427.0,3443981.0,4442558.0,2082140.0
New Mexico,Alabama,2005,540.0,1887200.0,838668.0,4442558.0,2082140.0
New York,Alabama,2005,3222.0,18655275.0,7853020.0,4442558.0,2082140.0
North Carolina,Alabama,2005,1512.0,8411041.0,3940554.0,4442558.0,2082140.0
North Dakota,Alabama,2005,80.0,609645.0,304458.0,4442558.0,2082140.0
Ohio,Alabama,2005,2099.0,11155606.0,5007091.0,4442558.0,2082140.0
Oklahoma,Alabama,2005,2347.0,3433496.0,1588749.0,4442558.0,2082140.0
Oregon,Alabama,2005,81.0,3560109.0,1558421.0,4442558.0,2082140.0
Pennsylvania,Alabama,2005,753.0,11979147.0,5422362.0,4442558.0,2082140.0
Rhode Island,Alabama,2005,0.0,1032662.0,447810.0,4442558.0,2082140.0
South Carolina,Alabama,2005,2426.0,4113961.0,1927864.0,4442558.0,2082140.0
South Dakota,Alabama,2005,0.0,746033.0,347931.0,4442558.0,2082140.0
Tennessee,Alabama,2005,9037.0,5810590.0,2637441.0,4442558.0,2082140.0
Texas,Alabama,2005,7532.0,22270165.0,9026011.0,4442558.0,2082140.0
Utah,Alabama,2005,200.0,2427350.0,873097.0,4442558.0,2082140.0
Vermont,Alabama,2005,163.0,602290.0,307345.0,4442558.0,2082140.0
Virginia,Alabama,2005,2572.0,7332608.0,3174708.0,4442558.0,2082140.0
Washington,Alabama,2005,1324.0,6146338.0,2651645.0,4442558.0,2082140.0
West Virginia,Alabama,2005,432.0,1771750.0,872203.0,4442558.0,2082140.0
Wisconsin,Alabama,2005,303.0,5375751.0,2498500.0,4442558.0,2082140.0
Wyoming,Alabama,2005,436.0,495226.0,235721.0,4442558.0,2082140.0
Alabama,Alaska,2005,152.0,4442558.0,2082140.0,641724.0,274246.0
Arizona,Alaska,2005,883.0,5829839.0,2544806.0,641724.0,274246.0
Arkansas,Alaska,2005,54.0,2701431.0,1249116.0,641724.0,274246.0
California,Alaska,2005,3898.0,35278768.0,12989254.0,641724.0,274246.0
Colorado,Alaska,2005,1791.0,4562244.0,2053178.0,641724.0,274246.0
Connecticut,Alaska,2005,0.0,3394751.0,1423343.0,641724.0,274246.0
Delaware,Alaska,2005,0.0,818587.0,374872.0,641724.0,274246.0
Florida,Alaska,2005,940.0,17382511.0,8256847.0,641724.0,274246.0
Georgia,Alaska,2005,816.0,8821142.0,3771466.0,641724.0,274246.0
Hawaii,Alaska,2005,284.0,1238158.0,491071.0,641724.0,274246.0
Idaho,Alaska,2005,735.0,1395634.0,595572.0,641724.0,274246.0
Illinois,Alaska,2005,578.0,12440351.0,5144623.0,641724.0,274246.0
Indiana,Alaska,2005,235.0,6093372.0,2724429.0,641724.0,274246.0
Iowa,Alaska,2005,96.0,2862541.0,1306943.0,641724.0,274246.0
Kansas,Alaska,2005,700.0,2662616.0,1196211.0,641724.0,274246.0
Kentucky,Alaska,2005,119.0,4058633.0,1865516.0,641724.0,274246.0
Louisiana,Alaska,2005,62.0,4389747.0,1940399.0,641724.0,274246.0
Maine,Alaska,2005,37.0,1283673.0,683799.0,641724.0,274246.0
Maryland,Alaska,2005,203.0,5461318.0,2273793.0,641724.0,274246.0
Massachusetts,Alaska,2005,148.0,6182860.0,2688014.0,641724.0,274246.0
Michigan,Alaska,2005,486.0,9865583.0,4478507.0,641724.0,274246.0
Minnesota,Alaska,2005,637.0,4989848.0,2252022.0,641724.0,274246.0
Mississippi,Alaska,2005,1517.0,2824156.0,1235496.0,641724.0,274246.0
Missouri,Alaska,2005,243.0,5631910.0,2592809.0,641724.0,274246.0
Montana,Alaska,2005,121.0,910651.0,428357.0,641724.0,274246.0
Nebraska,Alaska,2005,148.0,1706976.0,766951.0,641724.0,274246.0
Nevada,Alaska,2005,485.0,2381281.0,1019427.0,641724.0,274246.0
New Hampshire,Alaska,2005,444.0,1272486.0,583324.0,641724.0,274246.0
New Jersey,Alaska,2005,109.0,8521427.0,3443981.0,641724.0,274246.0
New Mexico,Alaska,2005,395.0,1887200.0,838668.0,641724.0,274246.0
New York,Alaska,2005,462.0,18655275.0,7853020.0,641724.0,274246.0
North Carolina,Alaska,2005,579.0,8411041.0,3940554.0,641724.0,274246.0
North Dakota,Alaska,2005,133.0,609645.0,304458.0,641724.0,274246.0
Ohio,Alaska,2005,35.0,11155606.0,5007091.0,641724.0,274246.0
Oklahoma,Alaska,2005,327.0,3433496.0,1588749.0,641724.0,274246.0
Oregon,Alaska,2005,1461.0,3560109.0,1558421.0,641724.0,274246.0
Pennsylvania,Alaska,2005,216.0,11979147.0,5422362.0,641724.0,274246.0
Rhode Island,Alaska,2005,0.0,1032662.0,447810.0,641724.0,274246.0
South Carolina,Alaska,2005,653.0,4113961.0,1927864.0,641724.0,274246.0
South Dakota,Alaska,2005,373.0,746033.0,347931.0,641724.0,274246.0
Tennessee,Alaska,2005,167.0,5810590.0,2637441.0,641724.0,274246.0
Texas,Alaska,2005,1835.0,22270165.0,9026011.0,641724.0,274246.0
Utah,Alaska,2005,1241.0,2427350.0,873097.0,641724.0,274246.0
Vermont,Alaska,2005,0.0,602290.0,307345.0,641724.0,274246.0
Virginia,Alaska,2005,618.0,7332608.0,3174708.0,641724.0,274246.0
Washington,Alaska,2005,5711.0,6146338.0,2651645.0,641724.0,274246.0
